FEC_VALOR,COD_INVERSION,COD_EMPRESA,VALOR,IND_AUTORIZADO
31/05/2017,3,2,35.8123699,S
31/05/2017,2,2,31.0167816,S
01/06/2017,1,2,23.2162296,S
01/06/2017,3,2,35.7306918,S
01/06/2017,0,2,10.5439541,S
02/06/2017,0,2,10.5449891,S
01/06/2017,2,2,30.985946,S
02/06/2017,1,2,23.2594997,S
02/06/2017,2,2,31.094381,S
02/06/2017,3,2,35.88719,S
03/06/2017,0,2,10.5462763,S
03/06/2017,1,2,23.29265,S
03/06/2017,3,2,36.0926989,S
03/06/2017,2,2,31.2038751,S
04/06/2017,0,2,10.5462763,S
04/06/2017,1,2,23.29265,S
04/06/2017,2,2,31.2038751,S
04/06/2017,3,2,36.0926989,S
05/06/2017,0,2,10.5462763,S
05/06/2017,1,2,23.29265,S
05/06/2017,2,2,31.2038751,S
05/06/2017,3,2,36.0926989,S
06/06/2017,0,2,10.5499976,S
06/06/2017,3,2,36.0356479,S
06/06/2017,1,2,23.2835561,S
06/06/2017,2,2,31.162986,S
07/06/2017,0,2,10.5512131,S
07/06/2017,1,2,23.2875825,S
07/06/2017,3,2,35.9499535,S
07/06/2017,2,2,31.1281619,S
08/06/2017,3,2,35.9760975,S
08/06/2017,1,2,23.3009232,S
08/06/2017,0,2,10.5524789,S
08/06/2017,2,2,31.1516636,S
09/06/2017,3,2,35.9893346,S
09/06/2017,2,2,31.162539,S
09/06/2017,0,2,10.5539058,S
09/06/2017,1,2,23.2976411,S
10/06/2017,0,2,10.5551123,S
10/06/2017,1,2,23.2986726,S
10/06/2017,3,2,36.0290975,S
10/06/2017,2,2,31.1657462,S
11/06/2017,0,2,10.5551123,S
11/06/2017,1,2,23.2986726,S
11/06/2017,2,2,31.1657462,S
11/06/2017,3,2,36.0290975,S
12/06/2017,0,2,10.5551123,S
12/06/2017,1,2,23.2986726,S
12/06/2017,2,2,31.1657462,S
12/06/2017,3,2,36.0290975,S
13/06/2017,3,2,36.0923558,S
13/06/2017,0,2,10.5586827,S
13/06/2017,2,2,31.2136518,S
13/06/2017,1,2,23.3305267,S
14/06/2017,3,2,36.0385053,S
14/06/2017,0,2,10.5598014,S
14/06/2017,1,2,23.3386192,S
14/06/2017,2,2,31.1987472,S
15/06/2017,0,2,10.5611704,S
15/06/2017,1,2,23.348001,S
15/06/2017,3,2,36.0212065,S
15/06/2017,2,2,31.1951066,S
16/06/2017,0,2,10.5623998,S
16/06/2017,3,2,35.9240421,S
16/06/2017,1,2,23.3658239,S
16/06/2017,2,2,31.1774952,S
17/06/2017,0,2,10.563543,S
17/06/2017,2,2,31.1648323,S
17/06/2017,3,2,35.8633091,S
17/06/2017,1,2,23.3576141,S
18/06/2017,0,2,10.563543,S
18/06/2017,1,2,23.3576141,S
18/06/2017,2,2,31.1648323,S
18/06/2017,3,2,35.8633091,S
19/06/2017,1,2,23.3576141,S
19/06/2017,2,2,31.1648323,S
19/06/2017,3,2,35.8633091,S
19/06/2017,0,2,10.563543,S
20/06/2017,0,2,10.5672093,S
20/06/2017,2,2,31.2056536,S
20/06/2017,1,2,23.359842,S
20/06/2017,3,2,35.9517095,S
21/06/2017,1,2,23.3660088,S
21/06/2017,0,2,10.5686732,S
21/06/2017,3,2,35.9547603,S
21/06/2017,2,2,31.2108604,S
22/06/2017,0,2,10.5698551,S
22/06/2017,1,2,23.3704131,S
22/06/2017,3,2,35.905766,S
22/06/2017,2,2,31.1834547,S
23/06/2017,1,2,23.3314634,S
23/06/2017,0,2,10.5710892,S
23/06/2017,3,2,35.8637897,S
23/06/2017,2,2,31.1241533,S
24/06/2017,0,2,10.5724989,S
24/06/2017,3,2,35.8771318,S
24/06/2017,1,2,23.3349911,S
24/06/2017,2,2,31.1267934,S
25/06/2017,0,2,10.5724989,S
25/06/2017,1,2,23.3349911,S
25/06/2017,2,2,31.1267934,S
25/06/2017,3,2,35.8771318,S
26/06/2017,0,2,10.5724989,S
26/06/2017,1,2,23.3349911,S
26/06/2017,2,2,31.1267934,S
26/06/2017,3,2,35.8771318,S
27/06/2017,0,2,10.5758927,S
27/06/2017,3,2,35.8871167,S
27/06/2017,2,2,31.1422931,S
28/06/2017,0,2,10.5771075,S
27/06/2017,1,2,23.3696705,S
28/06/2017,2,2,31.1944218,S
28/06/2017,3,2,35.9970111,S
28/06/2017,1,2,23.3675797,S
29/06/2017,0,2,10.5781271,S
29/06/2017,1,2,23.3481703,S
29/06/2017,3,2,35.9173034,S
29/06/2017,2,2,31.1636527,S
30/06/2017,0,2,10.5792534,S
30/06/2017,1,2,23.3403485,S
30/06/2017,3,2,35.8449811,S
01/07/2017,2,2,31.1378808,S
30/06/2017,2,2,31.1142268,S
01/07/2017,3,2,35.8712487,S
01/07/2017,0,2,10.5805774,S
01/07/2017,1,2,23.3512752,S
02/07/2017,0,2,10.5805774,S
02/07/2017,1,2,23.3512752,S
